Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Custom field (Actual end),Custom field (Actual result),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Link),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Steps),Custom field (Test level),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
R12 - Verify Registration- Date of birth cannot be left blank,NC-28,10331,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:29 PM,04/Jan/23 4:23 PM,04/Jan/23 4:23 PM,,,0,Registration,Login email cannot be blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-19,,,As expected,,,,,,,,NC-2,Date of birth cannot be left blank,,,,,,0|i00213:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
R11 - Verify Registration- Gender cannot be left blank,NC-27,10330,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:28 PM,04/Jan/23 4:23 PM,04/Jan/23 4:23 PM,,,0,Registration,Gender cannot be left blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-19,,,,,,,,,,,NC-2,Gender cannot be left blank,,,,,,0|i0020v:,,NC Sprint 1,,,,,,,,"1)nhập dữ liệu 
2)nhấn submit",Unit,Pass,,,To Do
IP10 - If after 3 minutes do not log in error message after posting,NC-24,10327,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:27 PM,04/Jan/23 3:32 PM,04/Jan/23 4:59 PM,,,0,Login,"Data test: “

Gmail:duybro[@gmail.com|mailto:duybro@gmail.com]

Password: 1234567890 “",,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:28 PM;628b1ae940b157006f720673;image-20230104-082805.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10245/image-20230104-082805.png,,As expected,,,,,,,,NC-1,If password is not valid error message after login,,,,,,0|i00207:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
R8 - Verify Registration- Registered name cannot be left blank,NC-23,10326,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:27 PM,04/Jan/23 4:22 PM,04/Jan/23 4:22 PM,,,0,Registration,Registered name cannot be left blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-19,,,As Expected,,,,,,,,NC-2,Registered name cannot be left blank,,,,,,0|i001zz:,,NC Sprint 1,,,,,,,,"1)nhập dữ liệu
2)nhấn submit",Unit,Pass,,,To Do
IP9 - If password is not valid error message after login,NC-20,10323,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:26 PM,04/Jan/23 3:28 PM,04/Jan/23 4:59 PM,,,0,Login,"Data test: “

Gmail:duybro[@gmail.com|mailto:duybro@gmail.com]

Password: 123321 “",,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:27 PM;628b1ae940b157006f720673;image-20230104-082658.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10243/image-20230104-082658.png,,As expected,,,,,,,,NC-1,If password is not valid error message after login,,,,,,0|i001zb:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
R5 - Verify Registration- The registration cannot be left blank,NC-19,10322,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:24 PM,04/Jan/23 4:22 PM,04/Jan/23 4:22 PM,,,0,Registration,The registration cannot be left blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-21,NC-22,NC-23,NC-25,NC-26,NC-27,NC-28,NC-30,NC-31,NC-32,NC-33,NC-34,NC-35,NC-36,NC-18,,,As expected,,,,,,,,NC-2,The registration cannot be left blank,,,,,,0|i001z3:,,NC Sprint 1,,,,,,,,"1)nhập du liệu
2)nhấn submit",Unit,Pass,,,To Do
"IP8 - If email does not exist in the system, error message after login",NC-17,10320,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:23 PM,04/Jan/23 3:26 PM,04/Jan/23 4:59 PM,,,0,Login,"Data test: “

Gmail:duybro12[3@gmail.com|mailto:duybro@gmail.com]

Password: 1234567890 “",,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:24 PM;628b1ae940b157006f720673;image-20230104-082413.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10241/image-20230104-082413.png,,As expected,,,,,,,,NC-1,"If email does not exist in the system, error message after login",,,,,,0|i001yn:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
L3 - Verify Login - Login password cannot be blank,NC-16,10319,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:22 PM,04/Jan/23 4:21 PM,04/Jan/23 4:21 PM,,,0,Login,Login password cannot be blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-15,,,As expected,,,,,,,,NC-1,Login password cannot be blank,,,,,,0|i001yf:,,NC Sprint 1,,,,,,,,"1)nhập pass
2)nhấn submit",Unit,Pass,,,To Do
L2 - Verify Login - Login email must be in the correct format abc@gmail.com,NC-15,10318,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:18 PM,04/Jan/23 4:21 PM,04/Jan/23 4:21 PM,,,0,Login,"Login email must be in the correct format [abc@gmail.com|mailto:abc@gmail.com]

test data:”abcgmail.com”",,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-16,NC-18,,,,,,,,,,,,,NC-10,,,As expected,,,,,,,,NC-1,Login email must be in the correct format abc@gmail.com,,,,,,0|i001y7:,,NC Sprint 1,,,,,,,,"1)nhập email
2)nhấn đăng nhập",Unit,Pass,,,To Do
IP7 - If the user presses the login button to go to the account page,NC-14,10317,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:18 PM,04/Jan/23 3:24 PM,04/Jan/23 4:59 PM,,,0,Login,"Data test: “

Gmail: [duybro@gmail.com|mailto:duybro@gmail.com]

Password: 1234567890 “",,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:20 PM;628b1ae940b157006f720673;image-20230104-082003.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10239/image-20230104-082003.png,,As expected,,,,,,,,NC-1,If the user presses the login button to go to the account page,,,,,,0|i001xz:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
IP5 - If the user does not enter the password field error message,NC-12,10315,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:11 PM,04/Jan/23 3:20 PM,04/Jan/23 4:55 PM,,,0,Login,Data test: “    “,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:12 PM;628b1ae940b157006f720673;image-20230104-081206.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10236/image-20230104-081206.png,,As expected,,,,,,,,NC-1,If the user does not enter the password field error message,,,,,,0|i001xj:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
L1 - Verify Login - Login email cannot be blank,NC-10,10313,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:04 PM,04/Jan/23 4:21 PM,04/Jan/23 4:21 PM,,,0,Login,"Login email cannot be blank

data:””",,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-15,,,,,,,,,,,,,,,,,As expected,,,,,,,,NC-1,Login email cannot be blank,,,,,,0|i001x3:,,NC Sprint 1,,,,,,,,"1) nhập email
2)nhấn đăng nhập",Unit,Pass,,,To Do
IP3 - If user does not enter .com email field error message,NC-9,10312,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:04 PM,04/Jan/23 3:09 PM,04/Jan/23 4:59 PM,,,0,Login,Data test: “duybro@ “,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:05 PM;628b1ae940b157006f720673;image-20230104-080543.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10232/image-20230104-080543.png,,As expected,,,,,,,,NC-1,If user does not enter .com email field error message,,,,,,0|i001wv:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
"IP2 - If the user does not enter the @ character in the email field, error message",NC-8,10311,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 2:58 PM,04/Jan/23 3:05 PM,04/Jan/23 4:59 PM,,,0,Login,Data test: “duybrogmail.com “,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:02 PM;628b1ae940b157006f720673;image-20230104-080246.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10229/image-20230104-080246.png,,As expected,,,,,,,,NC-1,"If the user does not enter the @ character in the email field, error message",,,,,,0|i001wn:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
IP1 - If the user does not enter the error message email field,NC-7,10310,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 2:50 PM,04/Jan/23 3:03 PM,04/Jan/23 4:59 PM,,,0,Login,Data test: “ “,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 2:56 PM;628b1ae940b157006f720673;image-20230104-075606.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10227/image-20230104-075606.png,,As expected,,,,,,,,NC-1,If the user does not enter the error message email field,,,,,,0|i001wf:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
